k,run1,run2,run3,avg_t,S_emp,S_theo,Delta_k
1,2.0835061670004507,2.0578778339986457,2.103308999998262,2.080593416998454,1.0183890942786886,1.0,-0.018389094278688622
2,1.1345098329984467,1.1272070000013628,1.1754345410008682,1.1513207705011155,1.8403677756782069,1.8403677756782069,0.0
4,0.5929010420004488,0.5901555419986835,0.5897443750000093,0.5899499584993464,3.5915819892402023,3.1740542166367267,-0.4175277726034756
8,0.3550339579996944,0.35469437500069034,0.34401408300254843,0.3493542290016194,6.065057954370535,4.977677776468403,-1.0873801779021317
16,0.34457733299859683,0.3373152919994027,0.33815662499910104,0.33773595849925186,6.2736987050905055,6.953227736675349,0.6795290315848437
